Facilities,SKU_Code,SKU_Name,Inventory Units,inventory_in_transfer_qty,snapshot_date
WH-MUM,BGT_SKU_001,Styling Gel Strong Hold (Var 1),128,7,2025-05-26
WH-MUM,BGT_SKU_002,Night Repair Oil (Var 2),146,0,2025-05-26
WH-MUM,BGT_SKU_003,Hydrating Face Wash (Var 3),65,6,2025-05-26
WH-MUM,BGT_SKU_004,Deodorant Fresh (Var 4),0,0,2025-05-26
WH-MUM,BGT_SKU_005,Exfoliating Scrub (Var 5),50,0,2025-05-26
WH-MUM,BGT_SKU_006,Styling Gel Strong Hold (Var 6),69,13,2025-05-26
WH-MUM,BGT_SKU_007,Charcoal Face Mask (Var 7),0,0,2025-05-26
WH-MUM,BGT_SKU_008,Styling Gel Strong Hold (Var 8),189,0,2025-05-26
WH-MUM,BGT_SKU_009,Fragrance Eau De Parfum (Var 9),169,0,2025-05-26
WH-MUM,BGT_SKU_010,Shaving Foam Sensitive (Var 10),434,38,2025-05-26
WH-MUM,BGT_SKU_011,Sunscreen SPF 50 (Var 11),490,0,2025-05-26
WH-MUM,BGT_SKU_012,Styling Gel Strong Hold (Var 12),321,0,2025-05-26
WH-MUM,BGT_SKU_013,Body Lotion Cocoa (Var 13),191,7,2025-05-26
WH-MUM,BGT_SKU_014,Eye Cream Dark Circles (Var 14),120,0,2025-05-26
WH-MUM,BGT_SKU_015,Night Repair Oil (Var 15),426,26,2025-05-26
WH-MUM,BGT_SKU_016,Shaving Foam Sensitive (Var 16),230,11,2025-05-26
WH-MUM,BGT_SKU_017,Lip Balm Tinted (Var 17),243,8,2025-05-26
WH-MUM,BGT_SKU_018,Night Repair Oil (Var 18),9,0,2025-05-26
WH-MUM,BGT_SKU_019,Fragrance Eau De Parfum (Var 19),0,0,2025-05-26
WH-MUM,BGT_SKU_020,Sunscreen SPF 50 (Var 20),304,38,2025-05-26
WH-MUM,BGT_SKU_021,Shaving Foam Sensitive (Var 21),11,1,2025-05-26
WH-MUM,BGT_SKU_022,Exfoliating Scrub (Var 22),348,8,2025-05-26
WH-MUM,BGT_SKU_023,Exfoliating Scrub (Var 23),0,0,2025-05-26
WH-MUM,BGT_SKU_024,Night Repair Oil (Var 24),306,0,2025-05-26
WH-MUM,BGT_SKU_025,Night Repair Oil (Var 25),109,0,2025-05-26
WH-MUM,BGT_SKU_026,Deodorant Fresh (Var 26),145,21,2025-05-26
WH-MUM,BGT_SKU_027,Eye Cream Dark Circles (Var 27),441,0,2025-05-26
WH-MUM,BGT_SKU_028,Styling Gel Strong Hold (Var 28),0,0,2025-05-26
WH-MUM,BGT_SKU_029,Anti-Aging Cream (Var 29),394,0,2025-05-26
WH-MUM,BGT_SKU_030,Exfoliating Scrub (Var 30),232,27,2025-05-26
WH-MUM,BGT_SKU_031,Acne Spot Treatment (Var 31),441,11,2025-05-26
WH-MUM,BGT_SKU_032,Sheet Mask Brightening (Var 32),143,0,2025-05-26
WH-MUM,BGT_SKU_033,Anti-Aging Cream (Var 33),230,13,2025-05-26
WH-MUM,BGT_SKU_034,Lip Balm Tinted (Var 34),313,49,2025-05-26
WH-MUM,BGT_SKU_035,Lip Balm Tinted (Var 35),230,0,2025-05-26
WH-MUM,BGT_SKU_036,Conditioner Argan Oil (Var 36),0,0,2025-05-26
WH-MUM,BGT_SKU_037,Exfoliating Scrub (Var 37),476,40,2025-05-26
WH-MUM,BGT_SKU_038,Acne Spot Treatment (Var 38),170,0,2025-05-26
WH-MUM,BGT_SKU_039,Eye Cream Dark Circles (Var 39),409,28,2025-05-26
WH-MUM,BGT_SKU_040,Eye Cream Dark Circles (Var 40),184,0,2025-05-26
